Iteration	Posterior	Likelihood	Prior	rf_simplex[1]	rf_simplex[2]	rf_simplex[3]	rf_simplex[4]	rf_simplex[5]	rf_simplex[6]	rf_simplex[7]	rf_simplex[8]	rf_simplex[9]	rf_simplex[10]	rf_simplex[11]	rf_simplex[12]	rf_simplex[13]	rf_simplex[14]	rf_simplex[15]	rf_simplex[16]	rf_simplex[17]	rf_simplex[18]	w_graph[1]	w_graph[2]	w_graph[3]	y_marginal	y_subdominant
3050	-959.784	-150.166	-809.619	0.0268277	0.0205646	0.00749695	0.00761358	0.0278914	0.0265309	0.0913506	0.0816159	0.0829893	0.0842691	0.0927668	0.0841772	0.0268793	0.0807985	0.081649	0.0825156	0.0266769	0.0673865	0.0153002	0.214905	0.769795	0	0.7513686
3100	-957.641	-147.729	-809.912	0.0504143	0.0486257	0.00343667	0.00345839	0.0517446	0.0513691	0.0702636	0.069012	0.0695502	0.0698406	0.0705643	0.0682542	0.00360168	0.0930907	0.0934672	0.0936785	0.00357703	0.0860513	0.00585688	0.015743	0.9784	0	0.9355839
3150	-962.525	-152.198	-810.327	0.0158935	0.0127856	0.00627053	0.00631585	0.0162086	0.0147561	0.0847849	0.0707417	0.0718988	0.0724073	0.0852605	0.0725124	0.0499715	0.0933493	0.0942286	0.0946312	0.0498272	0.0881564	0.00979576	0.35343	0.636775	0	0.8792449
3200	-956.241	-146.199	-810.042	0.0442184	0.0386993	0.00101214	0.00103246	0.0476289	0.0475032	0.0762604	0.0779323	0.0774685	0.0780658	0.0785617	0.0777805	0.00172311	0.0928322	0.0925408	0.092935	0.00168791	0.0721175	0.00107353	0.0100175	0.988909	0	0.7750039
3250	-960.465	-149.955	-810.51	0.0527658	0.0448822	0.0108035	0.0109529	0.0546602	0.0530265	0.0821354	0.0786691	0.0814064	0.0825708	0.0831867	0.0772699	0.0121378	0.067773	0.0694695	0.0702313	0.0120689	0.0559899	0.00897435	0.129973	0.861052	0	0.8217017
3300	-959.205	-149.193	-810.012	0.0559326	0.0223518	0.00960742	0.00975613	0.0609613	0.0607202	0.0804205	0.0793283	0.078879	0.0806479	0.0838743	0.0825002	0.0112286	0.0816787	0.0813738	0.0828524	0.0111804	0.0267063	0.0558167	0.0279079	0.916275	0	0.2178563
3350	-961.1	-148.009	-813.092	0.0440299	0.0209445	0.00565363	0.00586046	0.0492315	0.049038	0.0789149	0.0775404	0.0768867	0.0792271	0.0834918	0.0814916	0.0136446	0.0933728	0.0929387	0.0948579	0.0128903	0.0399853	0.0159469	0.0660811	0.917972	0	0.3399935
3400	-963.103	-152.138	-810.965	0.0755486	0.0452543	0.0145477	0.0151279	0.0870709	0.0870923	0.0814011	0.0893499	0.0914528	0.093428	0.0874352	0.084709	0.00576884	0.0392637	0.0397944	0.0404863	0.00550192	0.0167671	0.0129439	0.0859871	0.901069	0	0.3822664
3450	-958.551	-147.656	-810.894	0.0419541	0.0151327	0.0018985	0.00194291	0.0475516	0.0475873	0.07434	0.0754494	0.0745005	0.0765852	0.0807558	0.0806594	0.00446434	0.112179	0.11121	0.113733	0.00456773	0.0354875	0.0163073	0.00943273	0.97426	0	0.2696883
3500	-960.505	-149.716	-810.789	0.0442027	0.0165221	0.00247287	0.00252758	0.0485708	0.0483913	0.0672382	0.0677079	0.0668518	0.0671678	0.0696055	0.0684098	0.00598923	0.127755	0.126593	0.126946	0.00564945	0.0373984	0.0029293	0.0318612	0.96521	0	0.2624618
