Iteration	Posterior	Likelihood	Prior	rf_simplex[1]	rf_simplex[2]	rf_simplex[3]	rf_simplex[4]	rf_simplex[5]	rf_simplex[6]	rf_simplex[7]	rf_simplex[8]	rf_simplex[9]	rf_simplex[10]	rf_simplex[11]	rf_simplex[12]	rf_simplex[13]	rf_simplex[14]	rf_simplex[15]	rf_simplex[16]	rf_simplex[17]	rf_simplex[18]	w_graph[1]	w_graph[2]	w_graph[3]	y_marginal	y_subdominant
2700	-981.613	-172.081	-809.532	0.0805696	0.0805696	0.0805696	0.0805696	0.0805696	0.0805696	0.0415245	0.0415245	0.0415245	0.0415245	0.0415245	0.0415245	0.0445726	0.0445726	0.0445726	0.0445726	0.0445726	0.0445726	0.267552	0.693015	0.0394339	1	1
2750	-980.777	-171.563	-809.213	0.0305789	0.0305789	0.0305789	0.0305789	0.0305789	0.0305789	0.0609789	0.0609789	0.0609789	0.0609789	0.0609789	0.0609789	0.0751089	0.0751089	0.0751089	0.0751089	0.0751089	0.0751089	0.118472	0.0619368	0.819591	1	1
2800	-979.336	-170.041	-809.295	0.0328301	0.0328301	0.0328301	0.0328301	0.0328301	0.0328301	0.0672657	0.0672657	0.0672657	0.0672657	0.0672657	0.0672657	0.0665708	0.0665708	0.0665708	0.0665708	0.0665708	0.0665708	0.00183146	0.0228753	0.975293	1	1
2850	-979.956	-171.076	-808.88	0.0601224	0.0601224	0.0601224	0.0601224	0.0601224	0.0601224	0.0722131	0.0722131	0.0722131	0.0722131	0.0722131	0.0722131	0.0343312	0.0343312	0.0343312	0.0343312	0.0343312	0.0343312	0.348151	0.0928445	0.559005	1	1
2900	-981.618	-172.133	-809.485	0.0827809	0.0827809	0.0827809	0.0827809	0.0827809	0.0827809	0.0597428	0.0597428	0.0597428	0.0597428	0.0597428	0.0597428	0.024143	0.024143	0.024143	0.024143	0.024143	0.024143	0.484043	0.107151	0.408806	1	1
2950	-979.109	-169.384	-809.724	0.0337132	0.0337132	0.0337132	0.0337132	0.0337132	0.0337132	0.069382	0.069382	0.069382	0.069382	0.069382	0.069382	0.0635715	0.0635715	0.0635715	0.0635715	0.0635715	0.0635715	0.907172	0.0229597	0.0698685	1	1
3000	-981.333	-171.007	-810.326	0.0188553	0.0188553	0.0188553	0.0188553	0.0188553	0.0188553	0.0639575	0.0639575	0.0639575	0.0639575	0.0639575	0.0639575	0.0838538	0.0838538	0.0838538	0.0838538	0.0838538	0.0838538	0.248405	0.0914835	0.660111	1	1
3050	-979.88	-170.069	-809.811	0.0177437	0.0177437	0.0177437	0.0177437	0.0177437	0.0177437	0.0813196	0.0813196	0.0813196	0.0813196	0.0813196	0.0813196	0.0676033	0.0676033	0.0676033	0.0676033	0.0676033	0.0676033	0.0897742	0.679853	0.230373	1	1
3100	-985.356	-174.157	-811.199	0.0173718	0.0173718	0.0173718	0.0173718	0.0173718	0.0173718	0.0751534	0.0751534	0.0751534	0.0751534	0.0751534	0.0751534	0.0741415	0.0741415	0.0741415	0.0741415	0.0741415	0.0741415	0.701815	0.120595	0.177591	1	1
3150	-981.591	-170.052	-811.54	0.0425611	0.0425611	0.0425611	0.0425611	0.0425611	0.0425611	0.0629073	0.0629073	0.0629073	0.0629073	0.0629073	0.0629073	0.0611982	0.0611982	0.0611982	0.0611982	0.0611982	0.0611982	0.154227	0.518132	0.327641	1	1
